Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed,Conditions,GHI
10,4,1,64.79851807,64.79851807,986.3884888,100,0.259875834,Cloudy,0
10,4,2,64.03842896,64.03842896,986.5371094,100,0.40026021,Mostly Cloudy,0
10,4,3,62.79713866,62.79713866,986.8150635,100,0.590672195,Mostly Cloudy,0
10,4,4,61.41511353,61.41511353,987.0853882,100,0.733784199,Partly Cloudly,0
10,4,5,60.16031006,60.16031006,987.2408447,100,0.848489583,Clear,0
10,4,6,59.33512695,59.33512695,987.4870605,100,0.939106286,Cloudy,0
10,4,7,60.59740113,62.39212768,988.0413818,93.85105133,0.959075511,Cloudy,48
10,4,8,60.61355103,66.63762939,988.5563354,80.9704361,0.708814144,Cloudy,242
10,4,9,61.37331055,71.6468457,988.5472412,70.07307434,0.76313597,Cloudy,444
10,4,10,61.81287354,74.94170043,988.6427002,63.70355988,0.753569484,Cloudy,616
10,4,11,62.01853759,77.5659497,988.0792236,58.80967331,0.726269186,Cloudy,737
10,4,12,61.92784546,79.42351807,987.9771118,55.14440536,0.703345239,Cloudy,796
10,4,13,61.65868042,80.43409546,987.2392578,52.84591293,0.735759437,Cloudy,788
10,4,14,61.36908082,80.53209351,986.2042236,52.14043808,0.815177798,Cloudy,713
10,4,15,61.19478271,79.754646,985.7623901,53.15391922,0.888572633,Cloudy,579
10,4,16,62.04512451,77.9359143,985.6848145,58.1500473,0.878829539,Mostly Clear,400
10,4,17,65.21989869,74.7253247,985.6401978,72.30622101,0.771424353,Cloudy,198
10,4,18,66.36978271,70.13573119,985.899353,87.86286926,0.71965754,Mostly Clear,0
10,4,19,66.66388671,68.99095582,986.4161987,92.30265808,0.660117865,Partly Cloudly,0
10,4,20,66.34292113,67.85925415,986.5852051,94.89943695,0.620767951,Mostly Clear,0
10,4,21,65.8522168,66.76358765,986.689209,96.89220428,0.61251694,Clear,0
10,4,22,65.11519897,65.60667237,986.5444336,98.30522156,0.694258273,Mostly Clear,0
10,4,23,63.47158936,64.14889649,986.4194946,97.65645599,0.882181406,Clear,0
10,5,0,60.71989869,62.31434448,985.6923218,94.51861572,1.081373453,Clear,0
10,5,1,59.29848756,61.21153686,985.470459,93.42546082,1.217942715,Clear,0
10,5,3,57.91876954,59.60462158,984.4085693,94.14687347,1.329276204,Cloudy,0
10,5,4,57.63900268,58.86732911,984.3926392,95.69128418,1.321217299,Cloudy,0
10,5,5,57.49228027,58.1397046,984.7466431,97.70113373,1.280047417,Cloudy,0
10,5,6,57.34973266,57.51040771,985.3348389,99.42347717,1.228545308,Cloudy,0
